fast_low,slow_low,fast_high,slow_high,vol_lookback,vol_threshold_pct,sortino,trades_yr,penalised
42,110,12,230,40,70.0,0.9938199,2.4601123,0.9446176
50,120,22,250,120,70.0,0.97390795,1.4661276,0.9445854
50,120,50,270,60,70.0,0.98483485,2.0128193,0.9445784
42,120,50,240,80,70.0,0.9857612,2.0625186,0.9445109
42,120,22,270,60,70.0,0.9877443,2.161917,0.94450593
42,130,22,250,120,70.0,0.9728172,1.4164283,0.94448864
42,130,32,260,80,70.0,0.980759,1.8140223,0.94447863
42,140,22,300,40,70.0,0.9875659,2.161917,0.94432753
50,120,22,320,40,70.0,0.9915296,2.360714,0.9443153
42,120,50,250,120,60.0,0.9845692,2.0128193,0.9443128
50,120,42,240,60,70.0,0.9875457,2.161917,0.9443074
50,120,22,260,120,70.0,0.9746076,1.5158268,0.94429106
42,130,22,260,120,70.0,0.9735182,1.4661276,0.9441956
42,130,42,200,80,70.0,0.98138875,1.8637215,0.9441143
42,120,2,310,80,70.0,0.99827695,2.7086086,0.9441048
42,130,22,320,100,70.0,0.9773683,1.6649246,0.9440698
42,130,22,290,60,70.0,0.9832418,1.96312,0.9439794
50,120,42,210,80,70.0,0.98125046,1.8637215,0.94397604
42,130,42,260,40,70.0,0.9871792,2.161917,0.9439409
50,120,22,270,100,70.0,0.97325826,1.4661276,0.9439357
42,150,12,230,40,70.0,0.9870967,2.161917,0.9438584
42,120,2,300,100,70.0,0.99397,2.5098116,0.94377375
42,130,42,310,60,70.0,0.9829782,1.96312,0.9437158
50,120,32,310,40,70.0,0.98991686,2.3110147,0.94369656
50,120,42,250,80,70.0,0.9809149,1.8637215,0.9436405
42,130,2,310,100,60.0,0.9957841,2.6092103,0.9435999
50,120,32,260,80,70.0,0.98075217,1.8637215,0.94347775
42,140,50,250,60,70.0,0.9837311,2.0128193,0.9434747
42,120,2,100,60,70.0,1.0244492,4.050488,0.9434394
42,140,12,60,40,70.0,1.0284237,4.249285,0.943438
50,120,50,210,100,70.0,0.9767259,1.6649246,0.9434274
50,110,22,260,40,70.0,0.9955041,2.6092103,0.9433199
42,130,12,230,80,70.0,0.97858286,1.764323,0.9432964
42,120,42,290,40,70.0,0.9914292,2.4104133,0.9432209
42,120,50,310,60,70.0,0.9883681,2.2613153,0.9431418
50,120,42,200,80,70.0,0.981378,1.9134208,0.94310963
42,140,50,250,40,70.0,0.98133737,1.9134208,0.943069
50,120,42,270,120,60.0,0.9773603,1.7146238,0.9430678
42,130,22,320,120,70.0,0.9703009,1.3667291,0.94296634
42,140,42,220,80,70.0,0.9772398,1.7146238,0.9429473
42,130,2,100,100,70.0,1.0149939,3.603195,0.94293004
50,120,22,300,40,70.0,0.9941067,2.559511,0.9429165
50,120,50,250,40,70.0,0.9880763,2.2613153,0.94285
50,120,32,250,120,70.0,0.9701278,1.3667291,0.94279325
50,120,42,220,120,70.0,0.9720355,1.4661276,0.94271296
42,120,42,260,60,70.0,0.9899007,2.360714,0.94268644
42,130,32,250,120,70.0,0.96902204,1.3170298,0.94268143
42,120,12,240,80,70.0,0.98591846,2.161917,0.9426801
42,130,42,220,120,70.0,0.970933,1.4164283,0.9426044
42,140,42,280,40,70.0,0.97885895,1.8140223,0.94257855
50,120,22,300,120,70.0,0.97186065,1.4661276,0.94253814
42,140,50,330,40,70.0,0.9807848,1.9134208,0.9425164
42,120,22,290,120,70.0,0.9747916,1.6152253,0.94248706
42,130,22,300,120,70.0,0.97075975,1.4164283,0.9424312
42,120,22,290,100,70.0,0.9776208,1.764323,0.94233435
50,120,50,230,120,70.0,0.97157276,1.4661276,0.9422502
42,130,50,230,120,70.0,0.9704659,1.4164283,0.94213736
50,120,22,280,60,60.0,0.9793695,1.8637215,0.9420951
50,120,22,260,80,60.0,0.9733766,1.5655261,0.942066
42,130,22,270,60,70.0,0.98032176,1.9134208,0.9420534
42,120,2,310,100,60.0,0.99717516,2.758308,0.94200903
42,130,50,200,120,60.0,0.9761989,1.7146238,0.94190645
42,100,12,240,40,70.0,0.9911006,2.4601123,0.94189835
42,120,2,310,120,60.0,0.9960267,2.7086086,0.94185454
42,110,2,310,120,70.0,0.9860722,2.2116163,0.9418399
50,120,42,220,60,70.0,0.98302794,2.0625186,0.9417775
50,120,12,240,100,60.0,0.9790333,1.8637215,0.9417588
42,120,42,240,60,70.0,0.9889356,2.360714,0.94172126
42,120,22,260,120,70.0,0.975012,1.6649246,0.9417135
50,120,42,210,120,70.0,0.97195846,1.5158268,0.9416419
50,120,50,200,80,50.0,0.9738777,1.6152253,0.9415732
42,150,12,230,20,70.0,0.9907557,2.4601123,0.9415534
42,130,42,210,120,70.0,0.97085655,1.4661276,0.94153404
50,120,2,300,60,70.0,1.0006359,2.957105,0.9414938
42,120,50,210,120,60.0,0.9807337,1.96312,0.94147134
42,140,42,240,40,70.0,0.978739,1.8637215,0.9414646
42,130,42,270,40,70.0,0.98370785,2.1122177,0.9414635
42,120,50,280,60,70.0,0.98658806,2.2613153,0.9413618
42,140,22,260,100,70.0,0.96961236,1.4164283,0.9412838
50,120,42,250,60,70.0,0.98446125,2.161917,0.9412229
50,120,42,280,40,70.0,0.9853038,2.2116163,0.9410715
42,140,50,200,20,70.0,0.97932005,1.9134208,0.94105166
50,130,12,230,20,70.0,0.9931978,2.6092103,0.9410136
50,120,12,230,80,70.0,0.9782838,1.8637215,0.9410094
42,130,50,310,60,70.0,0.98123085,2.0128193,0.9409745
42,130,2,300,100,70.0,0.9891657,2.4104133,0.9409574
42,130,22,310,20,70.0,0.99212575,2.559511,0.9409355
42,130,22,290,100,70.0,0.973223,1.6152253,0.94091845
42,120,22,250,120,70.0,0.97406244,1.6649246,0.94076395
42,130,50,290,40,70.0,0.9829786,2.1122177,0.9407342
