trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,CAGR,Sharpe,MDD
1651,4,102,9,339,0.9189257389396259,0.2658131222338129,0.6391129510523449,-0.9399941957267111
1652,2,282,17,265,0.8758063193347433,0.24323998660062207,0.6097940722449414,-0.8136230716830006
1653,5,95,18,329,0.9455385833673087,0.2784623685602625,0.6544865664425096,-0.9336674714568041
1654,3,83,5,332,0.878575297792045,0.24544637389107993,0.6125624842473465,-0.9299784072354972
1655,2,90,14,344,0.9693925226173133,0.29095351830992433,0.6706538697481185,-0.9301811004718277
1656,3,291,15,340,0.9773004827219123,0.2933359516116518,0.6748855661398309,-0.8446924806273648
1657,4,278,19,326,0.9957118318597239,0.30261999327892397,0.6867975843872957,-0.8446924806273648
1658,2,302,18,334,1.0156616320161784,0.313107398579616,0.7002225106185466,-0.8446924806273649
1659,5,286,17,350,0.9906597346157465,0.3010052011589732,0.6847516636134792,-0.8446924806273648
1660,3,102,16,337,0.9420805369955303,0.2757700901739457,0.6510930344645818,-0.9202360984066249
1661,6,82,19,344,0.9205619050344701,0.26631980614687123,0.6391606007013468,-0.9528898932620744
1662,2,96,18,328,0.9395304361463946,0.274647003518139,0.6494806873942646,-0.939230422240251
1663,4,87,16,318,0.8011898525098027,0.20559006950727232,0.5590484520030077,-0.960883218682991
1664,23,110,17,331,0.9143837241693531,0.2613019071198601,0.6326638946561796,-0.9445049089127405
1665,3,277,19,339,0.9736207967241371,0.29233843925623604,0.673579321517493,-0.8446924806273648
1666,2,295,19,345,0.9890997031099321,0.3005753639871147,0.6841821166997321,-0.84762082738315
1667,15,81,18,326,0.9606262847161541,0.2857685017595444,0.6640185270537423,-0.9060254789793601
1668,4,284,15,335,0.9370602449003798,0.27323401255702096,0.6491622447357869,-0.8446924806273648
1669,3,90,17,350,0.9223603628915102,0.2673506548033915,0.6404590445803393,-0.9606824386304346
1670,2,290,18,340,0.9982443427934008,0.3042924040929855,0.6889356630052381,-0.8446924806273648
1671,3,96,13,331,0.9182621332770116,0.2640737969940006,0.6363579058040464,-0.914800227508349
1672,5,272,17,322,0.9416871554430666,0.27543207692269367,0.6521058215093778,-0.8506579031117047
1673,2,81,16,335,0.9906224873085939,0.3015398355848733,0.6833327400474107,-0.8905405584426379
1674,4,305,19,345,0.9646982792612003,0.28785802270133964,0.667819633169409,-0.8482232463042789
1675,4,105,18,306,0.8817794188070652,0.2454159182665463,0.6119799429615729,-0.9363477026819245
1676,2,299,17,220,0.8482004498917848,0.22961006395445893,0.591083324688582,-0.8101594799672128
1677,6,265,19,326,0.9652577026410836,0.286900806775211,0.6665072877544795,-0.8470521748170144
1678,3,92,16,317,0.8042383369279126,0.2069733389989603,0.5608600133776125,-0.9625242121132338
1679,5,76,18,340,0.9550281437468607,0.28378183571247595,0.6609986990047865,-0.9061348756972096
1680,2,237,16,331,0.9477488536753889,0.27905006446378877,0.6568008616688288,-0.8564165210827561
1681,3,83,48,73,0.4994043795425728,0.07019795446612331,0.3586610821726721,-0.9762346453353309
1682,4,285,19,337,0.9665949091589773,0.28880087832448154,0.6690449132695125,-0.8489631164553237
1683,2,100,15,345,0.9467437007537879,0.27803737161152764,0.6538149516880287,-0.9042974592266171
1684,3,88,17,323,0.8929041292264542,0.25143111883195224,0.6198931575046088,-0.9577421855395147
1685,5,293,20,332,0.9808735206062353,0.29612663905582703,0.6784965923842546,-0.8446924806273648
1686,2,279,18,341,1.0325446726317193,0.3221132533321014,0.7114979164285704,-0.8446924806273648
1687,2,269,19,350,0.9665089969276205,0.2892286301328997,0.669538439803941,-0.891517696319775
1688,2,259,17,345,1.0304815127927194,0.3210720176162818,0.7101466048511069,-0.8446924806273648
1689,2,271,15,345,0.9761599367277696,0.2925849955583806,0.6739394814461629,-0.8446924806273647
1690,2,275,14,344,0.9561294643212814,0.28315039994366487,0.6621256600298191,-0.8446924806273649
1691,2,280,15,347,0.9913037708697934,0.30059461126910625,0.6841996796709744,-0.8446924806273648
1692,2,267,16,346,0.9890864372857152,0.2995711067224367,0.6828282145424126,-0.8446924806273648
1693,2,257,16,350,0.9905537699549675,0.30115732256627115,0.6848145802637204,-0.8625695585594475
1694,2,248,16,350,0.970645068764055,0.29040900424140537,0.6709825276455882,-0.8638593833524324
1695,3,285,14,350,0.9844510977266767,0.2972325103331226,0.6799059695156082,-0.8446924806273648
1696,2,260,17,350,0.983656751456995,0.29760412244506385,0.6802720075549437,-0.876519619477828
1697,3,279,3,343,0.845456980233432,0.22929317797703685,0.5907519015464945,-0.8255058967919249
1698,2,273,17,342,1.0142490901328562,0.31247525812559696,0.6993558003198362,-0.8446924806273648
1699,3,253,15,344,0.9585155556576309,0.28392928844417287,0.6627485655500115,-0.8557229640778801
1700,3,255,16,343,0.971890702673411,0.29078693052712,0.6716365009219375,-0.8630271024891258
1701,2,262,17,341,0.9900940029675894,0.30009695247319046,0.6835639091729105,-0.844692480627365
1702,3,289,17,350,1.0034105687864114,0.30815976840023773,0.6939207208533424,-0.8457303259937344
1703,2,297,16,341,0.9802724854827378,0.2947260233287965,0.676719131053168,-0.8446924806273647
1704,3,206,17,345,0.9399155514918667,0.2745362611183184,0.6500975731274631,-0.9172163119244789
1705,2,247,17,339,0.9740597461734103,0.2913785160765785,0.6721698001214483,-0.8446924806273647
1706,3,302,15,341,0.9628403425520514,0.28555078291882885,0.6647719840454649,-0.8446924806273646
