trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr,Penalized
155,47,344,47,348,0.9506954538802727,0.27925406538217956,0.6634635985503418,-0.9037580600901058,-0.48747238600888165,0.7978756000408539,0.9347379418794556
156,47,344,44,347,0.9523079664308646,0.2797351117031046,0.6641178408728957,-0.8888528810888399,-0.4928912308326291,1.1582065161883364,0.9291438361070978
157,48,343,44,342,0.9222497187025017,0.2645007060596254,0.6442289356147516,-0.9124040035737462,-0.45674880336219503,1.775916658155449,0.8867313855393928
158,50,343,47,347,0.9390723256794915,0.27318861125214244,0.655571625305789,-0.9158330994307332,-0.5359499409910096,1.3126340516801145,0.9128196446458892
159,49,345,6,348,0.7777778193743813,0.19640456080644486,0.5533972414185832,-0.9500838362855408,-0.6710617680136679,9.651720968236136,0.5847434000096585
160,50,332,42,338,0.9020585001889218,0.25453460182245324,0.6313203586989332,-0.9263434298093827,-0.5517317315811504,2.8054335614339703,0.8459498289602423
161,47,324,47,349,0.9493582626337886,0.2786865204038411,0.6627078566989041,-0.9066943447154983,-0.506697143080298,2.753957716270044,0.8942791083083877
162,48,347,47,340,0.9519098056219482,0.2796694054009252,0.6640388636076691,-0.8830023196839154,-0.46064976943081637,1.3126340516801145,0.9256571245883458
163,48,348,48,342,0.9469444596955746,0.2774002059941063,0.6610513557656573,-0.8889179333826929,-0.4433192705686714,1.3126340516801145,0.9206917786619723
164,49,349,45,341,0.9102060597769338,0.25835306041611994,0.6361205164342111,-0.927937998634498,-0.4986151135226896,2.54805433561434,0.859244973064647
165,48,338,44,337,0.9022855974057529,0.2548259668933397,0.6317051281709551,-0.9142865024982832,-0.47052473689040974,1.775916658155449,0.8667672642426438
166,50,344,48,334,0.939424522362282,0.2732053709648292,0.6556026402260432,-0.9082017567641627,-0.5448516645209112,1.6214891226636707,0.9069947399090086
167,50,328,48,345,0.9381553640105974,0.27267367083392036,0.6548931972270711,-0.9110526753649354,-0.5130598406722315,2.1877234194668573,0.8944008956212602
168,50,340,50,333,0.9283880897633111,0.26779482530582066,0.648516712909367,-0.9306425290876292,-0.5821036249978814,1.1067306710244103,0.9062534763428229
169,50,337,50,332,0.95144983606588,0.2795040336035557,0.6637999844239498,-0.9017772768416508,-0.504261862015714,0.952303135532632,0.9324037733552273
170,50,334,49,343,0.9486716080749167,0.278219178866026,0.6621129777538658,-0.9074584733923006,-0.47167020693767736,1.4670615871718926,0.9193303763314788
171,50,333,50,342,0.9547985605320671,0.2814933366028196,0.6663287350116144,-0.9045668048229779,-0.4722828576858906,1.5185374323358187,0.9244278118853507
172,50,334,50,350,0.9326627429887485,0.27015322362418703,0.6515002864142153,-0.9160117529508649,-0.44400438423902433,1.6729649678275968,0.8992034436321966
173,49,319,50,342,0.94972110292784,0.27884582067837727,0.6629404686254394,-0.9112931620488973,-0.5368863204661325,2.753957716270044,0.8946419486024391
174,50,337,50,333,0.9388982816149404,0.2731936203650076,0.6555817753792321,-0.9163212655221729,-0.5042618620157151,0.952303135532632,0.9198522189042877
175,50,344,49,333,0.9451129226077271,0.27615297066573485,0.6594626385757114,-0.9024077836010439,-0.5161243474389353,1.5185374323358187,0.9147421739610107
