trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,Trades_Yr,CAGR,Sharpe,MDD,Penalized_Score
150,8,322,15,336,0.9440873064429259,2.97234273318872,0.276842610852825,0.6539853164629801,-0.8446924806273648,0.9440873064429259
151,9,317,17,342,0.9973202852350178,3.1773318872017353,0.30367688937560455,0.6882366435294166,-0.8446924806273646,0.9973202852350178
152,9,310,17,343,0.9899008857387727,3.587310195227766,0.2998454321849837,0.6832306180237858,-0.8446924806273649,0.9899008857387727
153,9,310,17,343,0.9899008857387727,3.587310195227766,0.2998454321849837,0.6832306180237858,-0.8446924806273649,0.9899008857387727
154,9,306,17,343,0.9947401903804964,3.5189804772234274,0.3023739821648288,0.6864937085642795,-0.8446924806273649,0.9947401903804964
155,9,305,17,350,0.9952515754811826,4.133947939262473,0.3033918656008521,0.687860340310708,-0.844692480627365,0.9952515754811826
156,6,296,17,350,0.9986318591436298,4.8855748373101955,0.30538754161092574,0.6904427741388346,-0.8493981401720394,0.9986318591436298
157,6,292,17,350,0.9972131513236149,4.8855748373101955,0.3048567749834894,0.6897082145926934,-0.8493981401720394,0.9972131513236149
158,6,290,17,349,0.9994393074283981,4.817245119305857,0.30602330293818203,0.6911899197207049,-0.848223246304279,0.9994393074283981
159,5,288,16,349,1.0148092101331423,4.9539045553145336,0.31256370140192913,0.6995145901116347,-0.8446924806273647,1.0148092101331423
160,5,286,16,350,0.9804505317253197,5.090563991323211,0.29559554478774697,0.6778058505430393,-0.8446924806273649,0.9804505317253197
161,6,288,16,349,1.0251643659630862,4.68058568329718,0.318160070264466,0.7066269517015262,-0.8446924806273649,1.0251643659630862
162,6,290,16,350,0.9873343620639342,4.68058568329718,0.2996492530072814,0.6830230776116798,-0.8482232463042793,0.9873343620639342
163,4,282,17,345,1.0049012181863963,5.500542299349241,0.3077815204071035,0.6934160708149549,-0.844692480627365,1.0049012181863963
164,4,280,15,346,0.9510013700752077,5.227223427331888,0.27972697609774744,0.6572176784634091,-0.8446924806273648,0.9510013700752077
165,3,285,13,350,0.9852886778186488,4.8855748373101955,0.29861643347792866,0.6822916637652311,-0.8446924806273648,0.9852886778186488
166,6,296,17,343,1.0029018845891158,4.27060737527115,0.30660461735407174,0.6919379846173336,-0.8446924806273649,1.0029018845891158
167,6,295,17,343,1.0090850628595522,4.338937093275488,0.30990149431727265,0.6961663536837683,-0.8446924806273647,1.0090850628595522
168,4,294,14,344,0.9476549901426856,4.407266811279826,0.2787323581370138,0.6563432261064844,-0.8446924806273648,0.9476549901426856
169,6,295,16,350,0.9835849424898823,4.68058568329718,0.2976534060027407,0.6804405214555709,-0.8482232463042789,0.9835849424898823
170,5,281,15,339,0.9386431378593789,4.338937093275488,0.2732437254895679,0.6487263615997809,-0.8446924806273647,0.9386431378593789
171,8,274,17,343,0.987413145704504,4.475596529284165,0.29847840011167026,0.6815967666457964,-0.8446924806273648,0.987413145704504
172,6,301,16,345,0.9690862155364355,4.407266811279826,0.2888730653212954,0.6690842190090395,-0.8446924806273647,0.9690862155364355
173,7,290,17,339,0.9881304696794296,3.792299349240781,0.2987859671061621,0.6819447733848649,-0.8446924806273647,0.9881304696794296
174,3,299,18,350,0.9853708110426601,5.705531453362256,0.2982406953091319,0.6811958939184538,-0.8446924806273649,0.9853708110426601
175,7,289,16,335,0.9960358195169013,3.5189804772234274,0.30270406454455845,0.6870636830258698,-0.8446924806273648,0.9960358195169013
176,7,268,13,335,0.9329047615977725,4.202277657266811,0.2710239969244297,0.6464543448661566,-0.8446924806273648,0.9329047615977725
177,4,290,16,335,0.992880977594936,4.543926247288503,0.3011389854412032,0.6849186744668702,-0.8446924806273647,0.992880977594936
178,2,283,14,343,0.9529754413025554,5.090563991323211,0.28172615905859355,0.6603066925839537,-0.8446924806273648,0.9529754413025554
179,6,277,19,339,0.9598840176927046,4.68058568329718,0.2852078923094701,0.6643948089489664,-0.8685432281158966,0.9598840176927046
180,8,299,18,350,0.9784242837761881,4.612255965292841,0.294973975786883,0.6770625908360393,-0.8538700206858674,0.9784242837761881
181,10,294,17,344,1.0087066453158204,3.5189804772234274,0.30967807335231723,0.6959312240546904,-0.8446924806273649,1.0087066453158204
182,5,294,16,345,0.9825554708644222,4.7489154013015185,0.29589113262417577,0.678165865547611,-0.8446924806273649,0.9825554708644222
183,6,286,17,333,1.022390096744783,3.655639913232104,0.31642815307145344,0.7045426458799406,-0.8446924806273646,1.022390096744783
184,6,287,15,334,0.9465134353616288,3.792299349240781,0.2783094931513712,0.6558753980679213,-0.8446924806273648,0.9465134353616288
185,4,274,18,340,0.9625464199804252,5.295553145336226,0.28545746723179155,0.6645888677122374,-0.8446924806273648,0.9625464199804252
186,7,287,15,332,0.9561467515151756,3.245661605206074,0.28302534045565575,0.6620957282473692,-0.8446924806273649,0.9561467515151756
187,5,296,17,340,1.0179643664515017,4.27060737527115,0.31457639684362126,0.7021127209134449,-0.8446924806273649,1.0179643664515017
188,5,297,19,344,1.0020937538568566,5.295553145336226,0.307456234214329,0.6930134103788891,-0.8479190844732257,1.0020937538568566
189,5,297,17,343,1.0150469283271732,4.612255965292841,0.31318708411407004,0.7003133942810891,-0.8446924806273648,1.0150469283271732
190,5,298,19,342,1.0004275961835294,5.158893709327549,0.30655864212967243,0.6918898561005323,-0.8479190844732255,1.0004275961835294
191,5,300,19,342,0.9967785435939737,5.158893709327549,0.304636498173658,0.6894272886472581,-0.8479190844732255,0.9967785435939737
192,4,296,17,344,1.0124916913143374,4.9539045553145336,0.3114913975310938,0.6981311695353426,-0.8446924806273648,1.0124916913143374
193,4,296,19,344,1.0085867549504433,5.363882863340564,0.3103185011535825,0.6966762129772291,-0.8446924806273648,1.0085867549504433
194,3,296,19,338,0.9689904589450368,5.363882863340564,0.2898540812084289,0.6703968393856122,-0.8446924806273648,0.9689904589450368
195,4,282,18,345,0.9845789208162432,5.773861171366595,0.2981542787622218,0.6810935618639847,-0.8446924806273648,0.9845789208162432
196,2,297,19,333,1.0076951602861308,5.363882863340564,0.3091194220647979,0.6951380456764082,-0.8446924806273648,1.0076951602861308
197,2,296,19,334,1.0052213853077692,5.363882863340564,0.3079142417575773,0.6935682439699624,-0.8446924806273649,1.0052213853077692
198,2,303,19,331,1.0118594187707957,5.432212581344903,0.3110583006551306,0.6976120790366089,-0.8446924806273647,1.0118594187707957
199,2,303,20,332,0.9810146367563941,5.637201735357918,0.2960751730817519,0.6784266188821176,-0.8446924806273648,0.9810146367563941
200,2,298,19,333,1.0102371428166323,5.295553145336226,0.3104848889937175,0.6968852134466406,-0.8446924806273648,1.0102371428166323
201,2,302,19,334,1.005428876781455,5.295553145336226,0.30784568759102315,0.69346892865325,-0.8446924806273648,1.005428876781455
202,2,299,19,334,1.014736910209367,5.363882863340564,0.31280110069533373,0.6998017885241219,-0.8446924806273647,1.014736910209367
203,2,303,20,331,1.0039724918813215,5.637201735357918,0.3070758859202116,0.6924905506228318,-0.8446924806273649,1.0039724918813215
204,2,303,20,323,1.0094875304989777,5.705531453362256,0.3097727275386104,0.6959861323835368,-0.8446924806273648,1.0094875304989777
205,2,305,20,324,1.0060654170269507,5.773861171366595,0.3077282117085074,0.6934079491620898,-0.8446924806273648,1.0060654170269507
206,2,303,20,322,1.006398431326759,5.637201735357918,0.3081488349023209,0.6939065710775243,-0.8446924806273647,1.006398431326759
207,2,283,21,320,0.9867249711113977,5.97885032537961,0.2980708074174043,0.6810013870229209,-0.844692480627365,0.9867249711113977
208,3,303,22,321,0.9479729327234925,6.115509761388287,0.27804189728115714,0.654983550860642,-0.8446924806273648,0.9479729327234925
209,3,288,19,325,1.0220795003291898,5.363882863340564,0.31669187359546114,0.7048104724238132,-0.8446924806273647,1.0220795003291898
210,3,290,20,326,1.0154687914429368,5.295553145336226,0.31317435804492977,0.7003047520841278,-0.8446924806273648,1.0154687914429368
211,3,290,20,325,1.0136800349714479,5.363882863340564,0.312211187481388,0.6990788273396004,-0.8446924806273648,1.0136800349714479
212,2,289,20,324,1.0017721464181197,5.705531453362256,0.30605679544461384,0.6912106891163594,-0.8446924806273648,1.0017721464181197
213,3,294,20,326,0.9985343511801891,5.363882863340564,0.30423897375678455,0.6888938092814938,-0.8446924806273649,0.9985343511801891
214,2,293,19,317,0.9692104438753063,5.97885032537961,0.2890977591807258,0.6695445990485642,-0.8446924806273648,0.9692104438753063
215,3,302,21,325,0.9930768930688605,5.705531453362256,0.3010613671471849,0.6847572368225399,-0.8446924806273648,0.9930768930688605
216,3,286,22,330,0.9687841897644051,5.910520607375271,0.29009036937299393,0.6706639409517127,-0.8701512467391054,0.9687841897644051
217,2,277,19,318,0.9783884908256322,6.115509761388287,0.2936454914770874,0.6753840184632586,-0.8446924806273649,0.9783884908256322
218,2,306,20,328,0.9903159805972689,5.637201735357918,0.2999319744281601,0.6833450756541649,-0.8446924806273649,0.9903159805972689
219,3,175,21,333,0.8370991077531996,11.035249457700651,0.22333163598545203,0.5825811166772208,-0.9649166054752059,0.8370991077531996
220,4,298,19,322,1.0071061151861043,5.0222342733188725,0.3083781096392815,0.6942279737919989,-0.844692480627365,1.0071061151861043
221,4,298,19,322,1.0071061151861043,5.0222342733188725,0.3083781096392815,0.6942279737919989,-0.844692480627365,1.0071061151861043
222,4,300,18,311,0.9309989842722732,5.637201735357918,0.2697884799081385,0.6447110638880256,-0.8446924806273647,0.9309989842722732
223,4,291,20,320,1.0051176895016625,5.295553145336226,0.3072061174246401,0.692794845590779,-0.8446924806273648,1.0051176895016625
224,4,307,19,323,0.9893743911801969,5.227223427331888,0.29953032095993826,0.682863851078395,-0.8446924806273648,0.9893743911801969
225,3,288,18,314,0.9296114601923481,5.56887201735358,0.2695196118855119,0.644362897879532,-0.8446924806273648,0.9296114601923481
226,4,299,20,327,0.9926652005713106,5.090563991323211,0.30123415995782743,0.6849993884505348,-0.8446924806273647,0.9926652005713106
227,2,293,18,331,1.01236616592487,5.090563991323211,0.3117071873645383,0.6984337794549492,-0.8446924806273649,1.01236616592487
229,3,284,22,322,0.9651672470426228,6.047180043383948,0.2871577067818858,0.6668445205100944,-0.8446924806273648,0.9651672470426228
