trial,base_fast,base_slow,vol_lookback,vol_scale,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
113,47,132,58,0.2052286327721333,0.951840344418786,0.9805925485469884,0.2931281666474872,0.6867898873616867,-0.798701063953684,-0.5702948333040148,1.4376102064101235
114,45,147,61,1.839548323822234,0.7773824222319126,0.834364063140532,0.21543817455239545,0.5785683819489281,-0.9609119738422273,-0.6880777202692956,2.849082045430972
115,46,158,49,0.07272442083102315,0.9201660690145648,0.9499638078383382,0.27733734035352553,0.6654918569979278,-0.8172481025696716,-0.5910560605264832,1.4898869411886735
116,50,115,71,0.15867451794947393,0.8654085494302916,0.903570565818633,0.2530438989875936,0.6319530986514472,-0.8678469917983546,-0.67970906183261,1.908100819417073
117,44,169,51,0.31793184057312945,0.9475136402173926,0.973129240258882,0.2897470040813086,0.6803385621108513,-0.798701063953684,-0.5987209842254277,1.2807800020744737
118,42,151,55,0.254662428194994,0.8753300654449624,0.9040822695731648,0.2561273744532968,0.6362179573313578,-0.8588181639933022,-0.5691357061743896,1.4376102064101235
119,48,125,44,0.1134261599328058,0.9586719710733791,0.9905607792882946,0.2966356384744431,0.692343007900754,-0.7987010639536838,-0.6085897510692762,1.5944404107457733
120,47,133,46,1.4937913225231794,0.8128143493488081,0.8624772473884306,0.22967931569315825,0.5974282083256208,-0.9609119738422273,-0.6778517931042028,2.4831449019811225
121,49,153,53,0.28460203517638183,0.9658633295671433,0.9914789296086327,0.2983048300328921,0.6918230900473067,-0.7987010639536838,-0.5691357061743896,1.2807800020744737
122,49,176,53,0.22634233777258575,0.9315335329721458,0.9550580636224932,0.28008249082402403,0.6674174548333242,-0.7987010639536839,-0.6096207498075199,1.1762265325173737
123,50,164,48,0.28700156385327646,0.9669330394769808,0.9935941742140413,0.299361835186462,0.693342894728008,-0.7987010639536838,-0.5987209842254276,1.3330567368530235
124,50,160,50,0.37226163676659696,0.9800363833488597,1.0087885874770621,0.3071136945538677,0.7034078624489692,-0.7987010639536838,-0.5899320929636519,1.4376102064101235
125,45,144,50,0.3496418648284178,0.9881609733951776,1.013776573436667,0.3095621139592153,0.7067165687923439,-0.798701063953684,-0.5955616764931162,1.2807800020744737
126,45,141,50,0.4616893382741635,0.9940431330161614,1.0186131983620799,0.312069481759508,0.7100804574182623,-0.7987010639536838,-0.5906064551334309,1.2285032672959237
127,45,122,41,0.47350546218015604,0.9279391059397367,0.9619189835457942,0.2833268951942227,0.6722247947785801,-0.876954380082838,-0.5772683760059092,1.6989938803028732
128,48,137,50,0.39203856422283506,0.9656123600241125,0.991227960065602,0.29868994114233893,0.6923152766777116,-0.8485183298674585,-0.5737052693439779,1.2807800020744737
129,50,147,25,0.3443681983305845,0.9152288350614253,0.9460721085807697,0.27510675666470963,0.660678933703093,-0.8000533827270022,-0.5955616764931164,1.5421636759672235
130,46,131,56,0.5093167084161274,0.9690161513417304,1.0040415636433588,0.30469285041930205,0.7003560283074479,-0.8475700501945082,-0.5702948333040143,1.7512706150814232
131,48,142,43,0.43005156176538023,0.9937495027676567,1.0214561722002882,0.31330869966303454,0.7116508460372762,-0.7987010639536839,-0.5906064551334314,1.3853334716315735
132,48,141,44,0.4304814759098613,0.9799078549296742,1.0086600590578767,0.3070602690363615,0.7033986964379326,-0.7987010639536839,-0.5906064551334314,1.4376102064101235
133,47,141,43,0.443207337839953,0.9912266517294005,1.01684225177089,0.31118804041874104,0.7088413982303324,-0.7987010639536838,-0.590606455133431,1.2807800020744737
134,45,119,43,0.4293537162775685,0.9600147277283828,0.9950401400300113,0.29972108402827646,0.6940006369925885,-0.8893052001089677,-0.6381724597027987,1.7512706150814232
135,47,141,35,0.6183633030405742,0.9147177049519755,0.950788651949175,0.2775453297454109,0.6617228844907769,-0.9245829008499581,-0.7229768252918597,1.8035473498599732
136,46,160,46,0.45483102312658386,0.9318765669801473,0.9595832364127788,0.28286646068015187,0.6698380188526516,-0.8997684551772641,-0.5910560605264832,1.3853334716315735
137,28,127,31,0.4958844580983157,0.7927198311691043,0.8402916598175847,0.22426472931263186,0.5916764069245949,-0.8946654236440954,-0.7035698072868207,2.3785914324240225
138,48,170,37,0.5525402362803222,0.85493462548268,0.8847323643064534,0.24500521293093458,0.6188174873618781,-0.9570882375056442,-0.5987209842254276,1.4898869411886735
139,25,140,39,0.36965474225786377,0.882968310734531,0.9200847924273015,0.2630623928633393,0.6460086442510145,-0.7987010639536839,-0.6333401442338971,1.855824084638523
140,44,113,42,0.441838623868709,0.9177970968496052,0.9559591132379467,0.2808359167901491,0.6696883391353102,-0.8830537437607495,-0.5592952518770327,1.908100819417073
141,48,144,47,0.9581164281692027,0.8619817907595896,0.9001438071479311,0.24918585267287852,0.6224452321750173,-0.9609119738422274,-0.632567140754777,1.908100819417073
