trial,base_fast_low,base_slow_low,base_fast_high,base_slow_high,vol_lookback,vol_threshold_pct,vol_scale,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
962,47,163,23,208,96,55.95374426798288,0.3968769635225828,0.9885741982638895,1.0055641370669182,0.3052598797921626,0.7024003784402506,-0.8524269037028916,-0.4651605770476277,1.6989938803028732
963,44,160,21,189,84,57.56936393646873,0.508966024091642,1.0342538824448027,1.0470616824655474,0.3261791718860958,0.7299778460509945,-0.8446924806273648,-0.4446570850176432,1.2807800020744737
964,23,171,22,169,91,56.58389561074249,0.3637567701192567,0.9191384325176668,0.934560069277339,0.27064831158161606,0.6571323863134649,-0.8335741358361609,-0.5319377994372716,1.5421636759672235
965,41,155,18,198,88,55.395061413638935,0.4698091542758206,1.0068940439462508,1.0197018439669956,0.3119622021848667,0.7118303934519379,-0.8446924806273648,-0.4937145211140872,1.2807800020744737
966,46,166,20,180,80,57.448436564472075,0.5411630019993753,0.9897866924054913,1.003640027121807,0.3042350484318921,0.7012997411967907,-0.8446924806273648,-0.5120118373239155,1.3853334716315735
967,43,176,23,218,75,59.11996992591689,1.089939676750802,0.8904860418331582,0.9079987479839724,0.25336347365476786,0.627833062598645,-0.9609119738422273,-0.5987209842254277,1.7512706150814232
968,45,148,21,153,94,58.34618595770416,0.41904847334781575,0.9597622991815336,0.9751839359412058,0.29026747205650016,0.684460547455424,-0.8321951542043802,-0.46168204023263537,1.5421636759672235
969,45,158,22,187,85,56.58298146356443,0.5024318053050281,0.9732651006818085,0.9897322721370517,0.29730632261473344,0.692249042262091,-0.8595879222560444,-0.4828088724491124,1.6467171455243232
970,42,165,21,171,90,60.65293092374713,0.4451278468898779,0.9576436363018253,0.973588040409283,0.28999547195941067,0.6832987228529771,-0.8595184235310337,-0.4462470920142583,1.5944404107457733
971,44,185,24,194,78,54.54054092085176,0.2521755943632892,0.9156989160405213,0.9311205528001936,0.2688550078219465,0.6540844643426156,-0.8546525247575204,-0.6150776515372653,1.5421636759672235
972,47,168,43,202,88,57.30162868811565,0.34089411213929244,0.9642027878534635,0.9770105878742082,0.29073585528060475,0.6807700229193161,-0.8830023196839154,-0.5987209842254275,1.2807800020744737
973,46,155,20,179,70,55.512491955607786,0.39060209491444986,0.9912386862563873,1.0061375556682741,0.3057779353145955,0.7047214450069006,-0.8526896099052886,-0.5358910175952358,1.4898869411886735
974,50,172,19,162,83,48.70400557886561,0.5970729201168237,0.9959336838865581,1.0144919247329434,0.30852945643846086,0.7080795477568388,-0.8446924806273648,-0.5436509178146529,1.855824084638523
975,42,163,17,146,92,59.772615894195276,0.4675228510654223,1.0010291041896382,1.0164507409493104,0.3110638530805663,0.7123323951145494,-0.7987010639536838,-0.4921576453129507,1.5421636759672235
976,45,179,25,186,86,58.14138536255642,0.5409988822261547,0.983050188227412,1.0000401270304407,0.30222493886841195,0.6978885582811478,-0.8446924806273646,-0.5378892722213974,1.6989938803028732
977,43,160,22,176,89,56.26315904990676,0.4118198910705442,1.01024897005089,1.0267161415061332,0.3160942270992584,0.7186530697973813,-0.8595184235310337,-0.48966186497282516,1.6467171455243232
