trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,Trades_Yr,CAGR,Sharpe,MDD
131,34,198,41,333,0.8785455483820686,8.302060737527116,0.24346260773205675,0.609438837757231,-0.929525552580624
132,35,209,39,306,0.8376066493946085,6.730477223427332,0.22223557197456234,0.5806341259662984,-0.9249225973657081
133,37,166,35,327,0.9450650856932223,11.10357917570499,0.2764720797395419,0.6520204106738595,-0.8566766631165553
134,35,184,37,310,0.8631560657645435,8.848698481561822,0.23547212715680566,0.5986505448672242,-0.9339292207343074
135,33,168,39,289,0.8097966341142854,10.898590021691975,0.20873114544887827,0.5624786208083263,-0.9460990921198043
136,36,195,40,315,0.9572114633100455,8.0970715835141,0.28343986467287463,0.6612891269287849,-0.8747381262169382
137,14,196,41,170,0.7698753411266509,13.085140997830804,0.19128630452146989,0.536693301547661,-0.9022966788434164
138,11,205,43,136,0.7704853575671333,21.28470715835141,0.19241961520773776,0.5380279132779829,-0.9122932384952452
139,37,215,42,299,0.8683429458964455,5.910520607375271,0.23766844250657027,0.6014973335909333,-0.8958246608430427
140,36,201,40,61,0.3376580713277268,43.08188720173536,0.010667634767855816,0.24377197772742956,-0.9647413827149772
141,50,189,41,315,0.8832067929598132,8.575379609544468,0.24517721476054377,0.6115121820938204,-0.9424663600885603
142,35,51,12,116,0.5708268780555136,17.04826464208243,0.10942397543795312,0.4064899209222761,-0.9714766855722228
143,18,158,40,310,0.8554111584631382,13.63177874186551,0.23084608805958773,0.5926126943565612,-0.9373314092959296
144,32,184,38,91,0.6419405847538888,27.844360086767896,0.13511128930395588,0.44913509742776914,-0.9367868894973121
145,38,213,42,328,0.9280406903074484,7.2771149674620395,0.2685071101650922,0.642265261230258,-0.8716537810876147
146,37,220,42,330,0.8693761550050645,6.867136659436009,0.23907383575184982,0.603650630653608,-0.9306879210006248
147,36,213,15,294,0.7881489791700947,7.4137744034707165,0.19913988911712877,0.5477436945683214,-0.921667880431308
148,38,195,41,342,0.8846720161883919,8.917028199566161,0.24645360312040143,0.6133707843853239,-0.9330054802991095
149,9,178,44,322,0.8238942789626439,13.016811279826465,0.2156913740104498,0.5726880800241158,-0.9637224804546313
150,34,173,36,214,0.8738147750915886,7.2087852494577005,0.24091262558572635,0.6063200434786162,-0.8437142155759297
151,34,200,39,75,0.46989209920664854,36.31724511930586,0.060672418214325896,0.3368592425820812,-0.9081497718972876
152,35,188,39,315,0.9224673659257621,8.848698481561822,0.2660901014384889,0.638895164373189,-0.9312370107242857
153,32,205,43,306,0.9008026583990932,7.2771149674620395,0.2540460511199065,0.6232794093849332,-0.8861774008469535
154,38,194,10,99,0.566564056590188,33.994034707158356,0.10641230066691265,0.39952880024242193,-0.9725842055085556
155,23,181,38,184,0.8124805192771042,7.892082429501085,0.21165763487930467,0.5658859679181286,-0.8885515535737732
156,27,212,40,283,0.8988692693669714,6.38882863340564,0.25324980862617164,0.6225097204956411,-0.8795487933130106
157,36,171,21,302,0.8206120772988892,11.035249457700651,0.2139883591342131,0.5690761907188457,-0.9263312315851185
158,2,190,5,323,0.825950458608016,8.575379609544468,0.21914628883109355,0.5765670387214799,-0.9178299293349397
159,20,200,37,163,0.6911389747991097,12.74349240780911,0.15700755473692918,0.48593428275276346,-0.9444083255560668
160,47,203,42,319,0.905157166175698,7.003796095444685,0.2563091826534307,0.6261936839807126,-0.9038775827599106
161,36,330,41,311,0.9375641802851213,1.6740780911062907,0.27300610343870235,0.6482047744355464,-0.8562548690251521
162,6,328,3,130,0.5483278006990764,32.01247288503254,0.10048376529599001,0.3913894156458644,-0.9740216775468454
163,16,304,25,157,0.7855887413456687,25.794468546637745,0.19869237403656403,0.5465293112244014,-0.8166531835298438
164,12,338,30,198,0.8418559174213118,19.50813449023861,0.22515048433662477,0.5844504015087163,-0.8554797859206424
165,4,317,7,299,0.8596929553153637,4.202277657266811,0.2361793494348443,0.6003365452994217,-0.835329753366459
166,37,325,18,311,0.8720130190855856,6.183839479392625,0.23915771476206782,0.6034515951316142,-0.8632750851343971
167,24,309,23,234,0.7929780560161936,13.563449023861171,0.20041194492328107,0.54951473898859,-0.8512563112497138
168,8,330,42,293,0.8957575634358305,9.053687635574837,0.25183172332111226,0.6203670564815723,-0.868649088572909
